"label","id","group"
"FUNDACION INSTITUTO MAYOR CAMPESINO, CORPORACION PARA EL DESARROLLO SUSTENTABLE, ASOCIACION RED COLOMBIANA DE AGRICULTURA BIOLOGICA, PASTROAL SOCIAL REGIONAL SURORIENTE COLOMBIANO, CINTURON OCCIDENTAL AMBIENTAL, CAMPANA EN DEFENSA DEL AGUA Y TERRITORIO EN LA REGION DE SUMAPAZ: AGUA SI PETROLEO NO, ASOCIACION DEFENSORES DEL TERRITORIO AMBIENTAL",233,"ADVOCACY"
"FUNDACION MANUEL CEPEDA VARGAS, ASOCIACION NACIONAL DE AYUDA ANDAS, FENSUAGRO, FUNDACION COMITE DE SOLIDARIDAD CON LOS PRESOS POLITICOS, ASFADDES",108,"ADVOCACY"
"FUNDACION PARA LA CONSTRUCCION CIVICO-SOLIDARIA DE UN CAMBIO SISTEMICO",137,"ADVOCACY"
"FUNDACION PARA LA DEFENSA DE LOS DERECHOS HUMANOS Y EL DIH DEL ORIENTE Y CENTRO DE COLOMBIA",236,"ADVOCACY"
"FUNDACION UNIVERSITARIA DEL AREA ANDINA",155,"UNIVERSITY"
"FUNDACIUDADANO",115,"ADVOCACY"
"GABRIEL HOLGUIN CARRIZOSA",67,"INDIVIDUAL"
"GABRIELA PATRICIA PARRA ROA, LUISA MORENO FRANCO, FELIPE NOVOA DELGADO",214,"INDIVIDUAL"
"GASPAR CABALLERO SIERRA",32,"INDIVIDUAL"
"GEOMACLE TORRES, EDWIN ORLANDO RODRIGUEZ",210,"INDIVIDUAL"
"GERARDO BONILLA",280,"INDIVIDUAL"
"GERMAN ALEXANDER PELAEZ, DIEGO FERNANDO MORA",199,"INDIVIDUAL"
"GIOVANNI GUTIERREZ GOMEZ",134,"INDIVIDUAL"
"GRUPO ASESOR DE DERECHO INTERNACIONAL PUBLICO",135,"THINK"
"GUSTAVO ADOLFO JARAMILLO GARCIA",116,"INDIVIDUAL"
"GUSTAVO ZAFRA ROLDAN",16,"INDIVIDUAL"
"GYNNA VANESSA RODRIGUEZ",212,"INDIVIDUAL"
"HAROLD BEDOYA PIZARRO",85,"INDIVIDUAL"
"HECTOR IVAN SANCHEZ",153,"INDIVIDUAL"
"HENRY SANABRIA",178,"INDIVIDUAL"
"HENRY SANABRIA SANTOS",211,"INDIVIDUAL"
"HERNAN ANDRES ROJAS",152,"INDIVIDUAL"
"HUGO PALACIOS MEJIA",30,"INDIVIDUAL"
"IGNACIO CASTILLA CASTILLA",72,"INDIVIDUAL"
"INSTITUTO COLOMBIANO DE DERECHO PROCESAL",58,"THINK"
"INSTITUTO COLOMBIANO DE DERECHO TRIBUTARIO",15,"THINK"
"JAIME ARDILA SALCEDO",149,"INDIVIDUAL"
"JAIME JURADO ALVARAN",63,"INDIVIDUAL"
"JAIME MORENO BERNAL",19,"INDIVIDUAL"
"JAIRO ANDRES RINCON BOJACA",188,"INDIVIDUAL"
"JAIRO ANDRES RIVERA HENKER",261,"INDIVIDUAL"
"JANPOR ELIECER CHAVEZ",169,"INDIVIDUAL"
"JAVERIANA DE CALI",208,"UNIVERSITY"
"JAVIER CALDERON BARON",160,"INDIVIDUAL"
"JAVIER GAVIRIA BAZZAN",7,"INDIVIDUAL"
"JESUS ANIBAL ACUNA Y OTROS",219,"INDIVIDUAL"
"JESUS VALLEJO MEJIA",17,"INDIVIDUAL"
"JOHANA MARIA GARZON",62,"INDIVIDUAL"
"JORGE ENRIQUE GARCIA Y OTROS",162,"INDIVIDUAL"
"JORGE ENRIQUE IBANEZ NAJAR",103,"INDIVIDUAL"
"JORGE ENRIQUE PEÑA VILLAMIL",37,"INDIVIDUAL"
"JORGE ENRIQUE ROBLEDO",165,"INDIVIDUAL"
"JORGE ENRIQUE TORRES GAMEZ",69,"INDIVIDUAL"
"JORGE HERNAN GIL ECHEVERRY",29,"INDIVIDUAL"
"JOSE ALFREDO GOMEZ RUIZ",51,"INDIVIDUAL"
"JOSE ALONSO CRUZ PEREZ",101,"INDIVIDUAL"
"JOSE ANTONIO MONTAÑEZ",25,"INDIVIDUAL"
"JOSE GABRIEL MESA",132,"INDIVIDUAL"
"JOSE GREGORIO HERNANDEZ GALINDO",275,"INDIVIDUAL"
"JOSE IGNACIO GONZALEZ BUITRAGO",206,"INDIVIDUAL"
"JOSE LUIS SUAREZ CAVELIER",164,"INDIVIDUAL"
"JOSE MACARIO GARCIA",285,"INDIVIDUAL"
"JOSE MIGUEL COPETE, MANUEL ERNESTO CATANEDA",157,"INDIVIDUAL"
"JOSE VICENTE ZAPATA LUGO",163,"INDIVIDUAL"
"JUAN CARLOS MELO",102,"INDIVIDUAL"
"JUAN CARLOS VELEZ URIBE",204,"INDIVIDUAL"
"JUAN DIEGO BUITRAGO",265,"INDIVIDUAL"
"JUAN JOSE ARISTIZABAL LOPEZ, SERGIO BENAVIDES ESCOBAR",278,"INDIVIDUAL"
"JUAN JOSE RODRIGUEZ ESPITIA",118,"INDIVIDUAL"
"JUAN LOZANO RAMIREZ",46,"INDIVIDUAL"
"JUAN MANUEL ALVAREZ ZARATE",89,"INDIVIDUAL"
"JUAN MANUEL CHARRIA",203,"INDIVIDUAL"
"JULIANA SALONIA, MARCELA PERNA",213,"INDIVIDUAL"
"KARINA MARIN FLOREZ",104,"INDIVIDUAL"
"LAURA ROCIO BELTRAN SANCHEZ Y OTROS (12)",254,"INDIVIDUAL"
"LUDER ENRIQUE JEREZ",161,"INDIVIDUAL"
"LUIS ALFONSO ROJAS ROSILLO",33,"INDIVIDUAL"
"LUIS FERIA",183,"INDIVIDUAL"
"LUIS FERNANDO TABORDA LOPEZ",8,"INDIVIDUAL"
"LUZ ANDREA MENDIETA, LAURA MARCELA QUINCHANEGUA",159,"INDIVIDUAL"
"MARCEL FERNANDO VARGAS, HUBER VIVALDI RODRIGUEZ",194,"INDIVIDUAL"
"MARIA CAMILA CAMACHO, JUANITA RAMIREZ",40,"INDIVIDUAL"
"MARIA CONSUELO DEL RIO, ROBERTO MOLINA PALACIO, RODRIGO UPRIMNY",4,"INDIVIDUAL"
"MARIA CONSUELO GONZALEZ",133,"INDIVIDUAL"
"MARIO DE JESUS CASTAÑEDA",57,"INDIVIDUAL"
"MARIO FERNANDEZ HERRERA",41,"INDIVIDUAL"
"MARIO HERRERA VELEZ",286,"INDIVIDUAL"
"MARTHA ISABEL CARVAJAL RAMOS",98,"INDIVIDUAL"
"MARTHA LILIANA ROJAS, NORMA CARDENAS",197,"INDIVIDUAL"
"MARTIN ACERO SALAZAR",113,"INDIVIDUAL"
"MIGUEL ANGEL ENCISO",167,"INDIVIDUAL"
"MISION DE OBSERVACION ELECTORAL",130,"THINK"
"MONICA CONSUELO DELGADO",184,"INDIVIDUAL"
"MONICA PEDROZA GARCES",39,"INDIVIDUAL"
"MONICA RANGEL CUBIDES",207,"INDIVIDUAL"
"MYRIAM ANDRADE",274,"INDIVIDUAL"
"NATALY JULIETH MERCHAN, JAVIER ORLANDO PAEZ",193,"INDIVIDUAL"
"NAYID ABU PAGER SAENZ",96,"INDIVIDUAL"
"NELSON EDUARDO VERA OROZCO, HERNAN GARCIA CONTRERAS",3,"INDIVIDUAL"
"NELSON ENRIQUE RUEDA RODRIGUEZ",289,"INDIVIDUAL"
"NICOLAS GARAVITO Y OTROS (5097)",253,"INDIVIDUAL"
"NINFA INES ANDRADE NAVARRETE",114,"INDIVIDUAL"
"ORGANIZACION MESA POR LA VIDA Y SALUD DE LAS MUJERES",147,"ADVOCACY"
"ORGANIZACION NACIONAL INDIGENA DE COLOMBIA",235,"ADVOCACY"
"OSCAR DAVID GOMEZ",177,"INDIVIDUAL"
"OSCAR FABIAN GUTIERREZ HERRAN",90,"INDIVIDUAL"
"OXFAM",250,"ADVOCACY"
"PABLO FELIPE ROBLEDO DEL CASTILLO",91,"INDIVIDUAL"
"PAIIS",176,"ADVOCACY"
"PAOLA SOFIA CAMARGO Y OTROS",256,"INDIVIDUAL"
"PAULA TORRES HOLGUIN",138,"INDIVIDUAL"
"PEDRO PABLO CAMARGO",6,"INDIVIDUAL"
"RAFAEL ARCHBOLD JOSEPH",74,"INDIVIDUAL"
"RAFAEL BARRIOS MENDIVIL",1,"INDIVIDUAL"
"RAFAEL ERNESTO SUAREZ ORJUELA",56,"INDIVIDUAL"
"RAMIRO BEJARANO GUZMAN",61,"INDIVIDUAL"
"RAMIRO CUBILLOS VELANDIA",223,"INDIVIDUAL"
"RAUL ENRIQUE SALAZAR HURTADO, YOLANDA SOFIA HURTADO, BELARMINO IBANEZ, ORLANDO PERTUZ, DOMINGO RAMON YEPES",272,"INDIVIDUAL"
"RAUL TRUJILLO",171,"INDIVIDUAL"
"RECLUSOS DE LA CARCEL DISTRITAL DE PEREIRA",11,"INDIVIDUAL"
"RED DE PENSIONADOS",283,"LABOR"
"ROSALBA SANTOS MONTANA",179,"INDIVIDUAL"
"SILVIA ISABEL REYES CEPEDA Y OTROS",146,"INDIVIDUAL"
"SINDICATO NACIONAL DE LA SALUD Y LA SEGURIDAD SOCIAL",266,"LABOR"
"SINDICATO NACIONAL DE TRABAJADORES DEL INSTITUTO DE SEGUROS SOCIALES",273,"LABOR"
"SIXTA ADELA GUZMAN TORRES",38,"INDIVIDUAL"
"SOCIEDAD DE AGRICULTORES DE COLOMBIA",201,"ADVOCACY"
"SOCIEDAD DE AGRICULTURES DE COLOMBIA Y 1747 CIUDADANOS",252,"ADVOCACY"
"SORAYA HOWELL, HILMA YANET AGUIRRE, MERY MANTILLA, CYNTHIA LOPEZ, MONICA BARRIOS",79,"INDIVIDUAL"
"UNION DE ASEGURADORES COLOMBIANOS FASECOLDA",34,"TRADE"
"UNION DE TRABAJADORES DE LA INDUSTRIA DEL TRANSPORTE MARITIMO Y FLUVIAL",64,"LABOR"
"UNION NACIONAL DE PENSIONADOS PUBLICOS DE COLOMBIA",271,"LABOR"
"UNION SINDICAL OBRERA",166,"LABOR"
"UNIVERSDIAD DEL ROSARIO",75,"UNIVERSITY"
"UNIVERSDIAD JAVERIANA",128,"UNIVERSITY"
"UNIVERSDIAD SANTO TOMAS",77,"UNIVERSITY"
"UNIVERSIDAD AUTONOMA DE BUCARAMANGA",143,"UNIVERSITY"
"UNIVERSIDAD CATOLICA",209,"UNIVERSITY"
"UNIVERSIDAD CENTRAL",47,"UNIVERSITY"
"UNIVERSIDAD DE ANTIOQUIA",150,"UNIVERSITY"
"UNIVERSIDAD DE CALDAS",192,"UNIVERSITY"
"UNIVERSIDAD DE CARTAGENA",92,"UNIVERSITY"
"UNIVERSIDAD DE IBAGUE",156,"UNIVERSITY"
"UNIVERSIDAD DE LA SABANA",44,"UNIVERSITY"
"UNIVERSIDAD DE LA SALLE",232,"UNIVERSITY"
"UNIVERSIDAD DE LOS ANDES",126,"UNIVERSITY"
"UNIVERSIDAD DEL ATLANTICO",217,"UNIVERSITY"
"UNIVERSIDAD DEL BOSQUE",231,"UNIVERSITY"
"UNIVERSIDAD DEL ROSARIO",78,"UNIVERSITY"
"UNIVERSIDAD DEL SINU",181,"UNIVERSITY"
"UNIVERSIDAD EAFIT",215,"UNIVERSITY"
"UNIVERSIDAD EXTERNADO",110,"UNIVERSITY"
"UNIVERSIDAD ICESI",131,"UNIVERSITY"
"UNIVERSIDAD INDUSTRIAL DE SANTANDER",216,"UNIVERSITY"
"UNIVERSIDAD JAVERIANA",151,"UNIVERSITY"
