name,Level,Type
Coordinadora de Derechos Humanos del Paraguay,Local,Advocacy
"Abogados y Abogadas del Noroeste
Argentino en Derechos Humanos y Estudios Sociales",Local,Lawyers
Movimiento de Mujeres Dominico-Haitianas,Local,Advocacy
"Human Rights Without Frontiers
International",International,Advocacy
University of Virginia School of Law International Human Rights Law Clinic,Local,Academia
Human Rights Network International,International,Advocacy
The Center for International Human Rights Law,International,Advocacy
International League for Human Rights,International,Advocacy
"University of Minnesota
Human Rights Center",Local,Academia
International Human Rights Clinic of George Washington University,Local,Academia
European Roma Rights Centre,International,Advocacy
"Washington College of Law Center for Human Rights
and Humanitarian Law",Local,Academia
University of Essex Human Rights Centre,Local,Academia
"Union Internationale
des Avocats",International,Lawyers
Benjamin Cuellar Martinez,Individual,Individual
Matilde Hernandez Espinoza,Individual,Individual
Carlos Ayala,Individual,Individual
Pedro Nikken,Individual,Individual
Alejandro Ponce,Individual,Individual
The Brazilian Institute of Criminal Science,Local,Academia
Colectivo de Derechos de Infancia y Adolescencia de Argentina,Local,Advocacy
The Human Rights Institute of Columbia Law School,Local,Academia
Human Rights Advocates,International,Advocacy
University of San Francisco Center for Law and Global Justice,Local,Academia
The Legal Clinic of International Law of Human Rights of the Faculty of Law of Aix-en-Provence,Local,Academia
Bernard Dickens,Individual,Individual
Monica Arango,Individual,Individual
Rebecca Cook,Individual,Individual
Lilian Sepulveda,Individual,Individual
Human Rights Clinic of the University of Texas Law School,Local,Academia
International Human Rights Clinic of Santa Clara University Law School,Local,Academia
Beatriz Galli,Individual,Individual
Alma Beltran Puga,Individual,Individual
Viviana Bohorquez Monsalve,Individual,Individual
Rodolfo Vasquez,Individual,Individual
Pedro Morales,Individual,Individual
Ricardo Tapia,Individual,Individual
Department of Genetics and Biotechnology of the School of Biology of the Universidad de Costa Rica,Local,Academia
Member of the Legislative Assembly of Costa Rica,Local,Official
Alexandra Beeche,Individual,Individual
American University Washington College of Law,Local,Academia
Catholics for Choice,Local,Advocacy
Latin American Office of the Population Research Institute,International,Advocacy
Instituto Solidaridad y Derechos Humanos,Local,Advocacy
Hernan Collado Martinez,Individual,Individual
Rita Maxera Herrera,Individual,Individual
Ivania Solano,Individual,Individual
Carmen Munoz Quesada,Individual,Individual
Enrique Pedro Haba,Individual,Individual
Organizacion de Litigio Estrategico de Derechos Humanos,Local,Advocacy
Andrea Acosta Gamboa,Individual,Individual
Andrea Parra,Individual,Individual
International Commission of Jurists,International,Lawyers
Colectiva por el Derecho a Decidir,Local,Advocacy
Fabio Varela,Individual,Individual
Enlace Gubernamental Vida y Familia,Local,Advocacy
Latin American Network for Assisted Reproduction ,International,Advocacy
Jose Guevara Calderon,Individual,Individual
Loyola Law School,Local,Academia
Law School of the Universidad Torcuatto Di Tella,Local,Academia
Asociacion de Medicos por los Derechos Humanos,Local,Advocacy
Latin American Federation of Obstetrics and Gynecology,International,Advocacy
Asociacion Americana de Juristas de Valparaiso/Aconcagua,Local,Lawyers
Notre Dame Law School,Local,Academia
The Regional Alliance for Freedom of Expression and Information,International,Advocacy
Asociacion Venezolana de Derecho Constitucional,Local,Lawyers
Human Rights Foundation,International,Advocacy
Hugo Wortman Jofre,Individual,Individual
Jorge Castaneda Gutman,Individual,Individual
The Carter Center,Local,Advocacy
Center for International Human Rights Law,International,Lawyers
Raul Moscoso Alvarez,Individual,Individual
Asociacion Nacional de Magistrados del Poder Judicial de Chile,Local,Lawyers
Chilean Institute of Procedural Law,Local,Lawyers
"University of Los Andes, Chile",Local,Academia
Pontificia Universidad Catolica of Rio de Janeiro,Local,Academia
School of Law of the University of Buenos Aires,Local,Academia
"Centro de Bioetica, Persona y Familia",Local,Academia
Law School of the Pontificia Universidad Catolica of Argentina,Local,Academia
Ibero-American University,Local,Academia
Judith Butler,Individual,Individual
Maite Aguirrezabal,Individual,Individual
Alejandro Romero Seguel,Individual,Individual
Carlos Alvarez Cozzi,Individual,Individual
Maria Rodriguez Pinto,Individual,Individual
Antonio Gioacchino Spagnolo,Individual,Individual
Joseph Meaney,Individual,Individual
Carlo Casini,Individual,Individual
Universidad Catolica Santo Toribio de Mogrovejo,Local,Academia
Enlace Gubernamental de Vida and Familia,Local,Advocacy
"Paul, Weiss, Rifkind, Wharton & Garrisson LLP",Local,Lawyers
Sexuality & Gender Law Clinic of Columbia University,Local,Advocacy
Gabriela Filoni,Individual,Individual
Jeannette Llaja,Individual,Individual
Elba Nunez Ibanez,Individual,Individual
Advocates International,International,Lawyers
Jane Adolphe,Individual,Individual
Richard Stitch,Individual,Individual
Ligia M. de Jesus,Individual,Individual
Rafael Nieto Navia,Individual,Individual
Julian Domingo Zarzosa,Individual,Individual
Berit Family Institute of Lima,Local,Advocacy
Asociacion Civil Promujer y Derechos Humanos,Local,Advocacy
Stefano Gennarini,Individual,Individual
Piero A. Tozzi,Individual,Individual
